DEP,dist_recta_km,distancia_km,duracion_min,factor_desvio,velocidad_kmh
AYACUCHO,1094.8674,1624.8132,1479.1267,1.484,65.9097
AYACUCHO,66.412,118.7714,141.48,1.7884,50.3696
AYACUCHO,1166.1139,1528.2259,1376.5017,1.3105,66.6135
PIURA,1198.3209,1798.0238,1686.3567,1.5005,63.9731
PIURA,114.1942,143.7154,146.0283,1.2585,59.0497
AYACUCHO,1080.9392,1540.8692,1485.58,1.4255,62.233
LORETO,540.3225,946.8525,777.6717,1.7524,73.0529
LORETO,672.6218,1454.8395,1331.425,2.1629,65.5616
LORETO,709.1641,1072.6388,2494.7233,1.5125,25.7978
AYACUCHO,1219.094,1572.1058,1528.2883,1.2896,61.7203
AYACUCHO,1284.2184,1553.1228,1479.0533,1.2094,63.0047
AYACUCHO,847.9489,1363.5435,1450.8217,1.608,56.3905
LORETO,97.4289,100.7404,125.8367,1.034,48.0339
LORETO,790.6191,1632.5579,8799.4867,2.0649,11.1317
AYACUCHO,1279.0267,1661.1264,1537.8867,1.2987,64.8081
LORETO,816.6754,1630.4852,8793.3417,1.9965,11.1254
LORETO,487.4068,1485.3464,8711.375,3.0474,10.2304
AYACUCHO,73.5693,140.6504,200.95,1.9118,41.9956
AYACUCHO,1402.1254,1863.0572,1717.745,1.3287,65.0757
AYACUCHO,295.6922,662.7469,621.3383,2.2413,63.9986
PIURA,148.536,259.31,239.8667,1.7458,64.8635
LORETO,786.4323,1681.2362,8845.4617,2.1378,11.4041
PIURA,734.6639,1420.4571,8671.665,1.9335,9.8283
AYACUCHO,1013.2714,1800.9012,1764.9983,1.7773,61.2205
AYACUCHO,1129.5862,1519.386,1363.515,1.3451,66.8589
AYACUCHO,1115.4944,1566.2218,1421.5533,1.4041,66.1061
PIURA,39.7913,52.5085,49.9067,1.3196,63.128
AYACUCHO,1259.1505,2463.927,9709.3083,1.9568,15.2262
AYACUCHO,74.024,147.8941,152.975,1.9979,58.0072
AYACUCHO,1000.985,2026.3948,9397.9717,2.0244,12.9372
AYACUCHO,1211.3319,1625.9749,1472.2383,1.3423,66.2654
PIURA,117.3749,174.6198,174.5083,1.4877,60.0383
PIURA,103.3187,148.256,146.6117,1.4349,60.6729
PIURA,135.6924,224.6873,172.0017,1.6559,78.3785
PIURA,150.3441,205.33,159.085,1.3657,77.4416
AYACUCHO,1349.3379,1786.9518,1644.3283,1.3243,65.2042
AYACUCHO,1201.5849,1606.4358,1475.6717,1.3369,65.3168
AYACUCHO,1325.1417,1664.6898,1558.385,1.2562,64.0929
AYACUCHO,1259.3439,1643.7658,1508.605,1.3053,65.3756
AYACUCHO,1216.2977,1560.9318,1507.665,1.2833,62.1198
LORETO,704.4403,1637.6125,8815.0317,2.3247,11.1465
PIURA,1142.8558,1705.6404,1604.5217,1.4924,63.7813
AYACUCHO,1307.7776,1590.6916,1478.025,1.2163,64.5737
AYACUCHO,106.4607,247.0045,315.3683,2.3201,46.9935
PIURA,60.2119,161.8364,134.075,2.6878,72.4235
AYACUCHO,1206.5765,1626.0076,1470.785,1.3476,66.3322
LORETO,40.298,740.215,798.8017,18.3685,55.5994
PIURA,148.6432,242.9539,177.5583,1.6345,82.0983
AYACUCHO,1318.5113,1749.8972,1623.48,1.3272,64.6721
LORETO,830.5669,1619.6489,8780.7333,1.9501,11.0673
AYACUCHO,207.1855,427.2574,582.2833,2.0622,44.0257
AYACUCHO,1277.0595,1690.7172,1560.8267,1.3239,64.9931
AYACUCHO,1239.8768,1649.7638,1499.7433,1.3306,66.0018
PIURA,116.718,157.9595,150.5917,1.3533,62.9356
PIURA,125.6667,211.5357,219.7217,1.6833,57.7646
AYACUCHO,1258.9849,1495.7868,1401.3483,1.1881,64.0435
AYACUCHO,1154.1619,1512.4096,1366.8433,1.3104,66.3899
AYACUCHO,68.6013,162.2507,203.9333,2.3651,47.7364
LORETO,1167.0559,2032.4696,13674.1467,1.7415,8.9182
LORETO,751.582,1684.3034,8850.7383,2.241,11.4181
AYACUCHO,1129.5339,1520.3695,1364.2767,1.346,66.8649
AYACUCHO,52.1601,96.6287,155.2783,1.8525,37.3376
AYACUCHO,1260.9616,2165.3516,9557.1217,1.7172,13.5942
AYACUCHO,1218.8658,1452.379,1387.685,1.1916,62.7972
AYACUCHO,1184.9672,1541.022,1384.7717,1.3005,66.7701
LORETO,626.879,1063.3482,2486.1483,1.6963,25.6625
AYACUCHO,922.2411,1570.4142,1629.9117,1.7028,57.8098
AYACUCHO,1359.6165,1751.4626,1594.8417,1.2882,65.8923
LORETO,863.2366,1619.6489,8780.7333,1.8763,11.0673
AYACUCHO,1202.4693,1557.9754,1467.7667,1.2956,63.6876
AYACUCHO,1184.2981,2304.3338,9645.4233,1.9457,14.3343
AYACUCHO,1422.7871,2695.985,9956.9917,1.8949,16.2458
AYACUCHO,1039.7726,1858.4712,1828.2283,1.7874,60.9925
AYACUCHO,1255.5843,1670.956,1543.945,1.3308,64.9358
AYACUCHO,1245.5304,2137.0608,9515.5067,1.7158,13.4752
LORETO,1065.3229,1806.3562,1868.52,1.6956,58.0039
PIURA,109.8883,179.3621,159.505,1.6322,67.4695
PIURA,56.2077,81.3986,73.4083,1.4482,66.5308
PIURA,57.474,117.8804,131.9583,2.051,53.5989
AYACUCHO,980.5657,1698.133,1782.4333,1.7318,57.1623
AYACUCHO,1344.6352,1718.3656,1594.0533,1.2779,64.6791
AYACUCHO,1360.3128,1714.04,1560.52,1.26,65.9026
LORETO,1216.4127,2373.191,9643.145,1.951,14.7661
AYACUCHO,22.2417,53.9892,85.6783,2.4274,37.8083
AYACUCHO,1219.2244,1607.9115,1477.015,1.3188,65.3173
AYACUCHO,1123.9097,1497.7235,1358.7683,1.3326,66.1359
AYACUCHO,1217.4312,1772.2078,1658.5017,1.4557,64.1136
AYACUCHO,1207.5013,2344.655,9632.9933,1.9417,14.6039
AYACUCHO,1283.9092,1668.2734,1545.0267,1.2994,64.7862
AYACUCHO,1118.7837,1522.7651,1384.9983,1.3611,65.9682
AYACUCHO,1221.4292,1581.0605,1486.875,1.2944,63.8007
AYACUCHO,1345.5827,1834.5964,1673.65,1.3634,65.7699
LORETO,1167.7988,2033.1478,13674.9517,1.741,8.9206
LORETO,490.6786,954.0758,806.575,1.9444,70.9724
AYACUCHO,1182.9077,1419.5382,1348.765,1.2,63.1484
PIURA,1044.4298,1646.5975,1564.96,1.5766,63.13
AYACUCHO,1167.5447,1559.8255,1465.8717,1.336,63.8457
AYACUCHO,1347.0157,1696.2424,1572.3167,1.2593,64.729
AYACUCHO,1194.5241,1579.2922,1453.105,1.3221,65.2104
PIURA,128.6742,219.8839,198.6717,1.7088,66.4062
PIURA,857.5407,1687.36,8867.3017,1.9677,11.4174
AYACUCHO,271.2757,577.1893,588.1583,2.1277,58.881
PIURA,855.3678,1638.9174,8829.1233,1.916,11.1376
LORETO,563.9831,1102.7886,2516.93,1.9554,26.2889
PIURA,113.2311,148.7862,183.1317,1.314,48.7473
PIURA,38.1306,48.9484,53.375,1.2837,55.024
LORETO,833.4803,1586.087,8729.925,1.903,10.901
LORETO,356.3212,534.6566,6268.4783,1.5005,5.1176
AYACUCHO,1248.242,1679.1824,1507.755,1.3452,66.8218
AYACUCHO,1197.0802,1591.3795,1470.05,1.3294,64.9521
PIURA,724.2687,1729.0884,8894.0,2.3874,11.6646
PIURA,58.4942,67.0401,61.08,1.1461,65.8547
AYACUCHO,899.8271,1471.5735,1549.6633,1.6354,56.9765
AYACUCHO,1124.6155,1467.7392,1316.99,1.3051,66.8679
AYACUCHO,1150.6553,1506.7042,1360.5567,1.3094,66.445
AYACUCHO,1171.8352,1458.9505,1349.925,1.245,64.8458
AYACUCHO,1167.3726,1512.4592,1481.245,1.2956,61.2644
LORETO,1132.2615,2020.6198,9379.5817,1.7846,12.9256
LORETO,1036.7361,1739.2392,1718.8533,1.6776,60.7116
AYACUCHO,951.7244,1562.0478,1573.4617,1.6413,59.5648
AYACUCHO,950.4374,1563.658,1573.4267,1.6452,59.6275
AYACUCHO,835.5387,1360.7265,1466.7733,1.6286,55.662
AYACUCHO,1181.9735,2254.2744,9571.4,1.9072,14.1313
AYACUCHO,1264.164,2503.0858,9747.3667,1.98,15.4078
AYACUCHO,1406.0344,2691.907,9931.455,1.9145,16.2629
PIURA,1311.6634,1642.1929,1471.4333,1.252,66.963
AYACUCHO,1190.5488,1575.7911,1447.4733,1.3236,65.319
AYACUCHO,1240.4746,1487.2205,1408.2333,1.1989,63.3654
AYACUCHO,1279.0514,1586.3225,1476.7167,1.2402,64.4534
LORETO,1025.4695,2060.6822,9442.3817,2.0095,13.0943
LORETO,942.1639,2154.5278,9506.78,2.2868,13.5978
LORETO,884.5396,1595.4709,8739.7633,1.8037,10.9532
AYACUCHO,1040.5868,2042.0586,9433.2283,1.9624,12.9885
AYACUCHO,169.6955,359.0521,430.0167,2.1159,50.0984
AYACUCHO,152.45,327.206,383.6183,2.1463,51.1768
AYACUCHO,1226.9619,1632.1569,1469.6317,1.3302,66.6353
AYACUCHO,1051.8983,2006.446,9381.8017,1.9075,12.8319
LORETO,711.279,1458.9906,1336.2733,2.0512,65.5101
AYACUCHO,25.8953,60.3395,64.0417,2.3301,56.5315
LORETO,1356.6867,2379.6196,9650.4817,1.754,14.7948
LORETO,1019.4602,2082.699,9481.815,2.0429,13.1791
AYACUCHO,1141.2103,1515.3255,1384.3583,1.3278,65.6763
PIURA,77.5662,87.0124,94.1167,1.1218,55.471
AYACUCHO,1334.8706,1690.7788,1544.6017,1.2666,65.6782
AYACUCHO,865.741,1395.9438,1467.6833,1.6124,57.0672
LORETO,758.9134,1717.6738,8878.1967,2.2633,11.6083
PIURA,112.1711,142.576,155.6567,1.2711,54.9579
AYACUCHO,1266.9942,1550.8865,1441.2833,1.2241,64.5627
LORETO,893.0737,1592.9158,8736.6767,1.7836,10.9395
AYACUCHO,1104.8318,2090.0424,9451.5683,1.8917,13.2679
PIURA,173.4209,243.0934,238.3417,1.4018,61.1962
PIURA,128.6873,226.2506,181.715,1.7581,74.7051
AYACUCHO,140.7091,285.2995,328.9183,2.0276,52.0432
LORETO,799.4234,1591.297,8734.6667,1.9906,10.9309
AYACUCHO,1303.7554,1547.6305,1477.7317,1.1871,62.8381
AYACUCHO,185.5754,409.4831,446.4417,2.2066,55.0329
AYACUCHO,1080.2567,2126.2318,9521.4567,1.9683,13.3986
PIURA,127.7868,178.8759,199.9667,1.3998,53.6717
