id_demanda,Z,t_min
116884,3622,82.855
127801,3227,62.13166666666667
112770,3899,95.52166666666668
626551,3281,62.25833333333333
224237,4098,124.88666666666667
119805,3327,82.15833333333333
233772,4328,104.315
662630,3504,72.81833333333334
662471,3470,55.805
662628,3555,75.75333333333333
683794,3122,55.55166666666666
114194,3724,75.52
128688,4313,107.76
510981,3903,89.91666666666667
656063,3471,83.34333333333333
685973,3534,76.15
227146,3588,92.82333333333332
215244,3818,80.865
211842,4279,103.65666666666667
114375,4219,110.44333333333334
224147,3017,59.65833333333333
538217,3692,74.05166666666668
662632,3702,84.68833333333333
120542,3561,79.555
227750,4077,90.20333333333333
219291,3731,98.77666666666667
685981,3451,70.05666666666666
115759,3133,60.11
110852,3648,44.835
657280,4132,96.68
512621,3436,76.865
662620,3979,41.35666666666667
556672,3906,82.9
553521,3568,82.21833333333333
124841,3852,85.72166666666666
131454,3492,71.90333333333334
238397,3266,61.108333333333334
112110,4341,136.56166666666667
618522,3519,41.70333333333333
224071,3512,74.13000000000001
562442,3484,45.8
657279,4195,101.41166666666666
114315,4235,136.56166666666667
662617,3807,90.46333333333334
125969,3541,78.33333333333333
547083,3662,52.32666666666667
113295,4417,119.58500000000001
662624,4028,92.96499999999999
114894,3305,75.60333333333332
215268,4532,110.925
250791,4528,134.43666666666667
612711,3462,73.81333333333333
545440,3286,78.99166666666666
662470,3270,61.11
685984,2463,12.44
553669,2728,4.303333333333333
120883,2724,7.928333333333333
126984,2649,4.251666666666667
655348,2772,2.83
677094,2725,8.37
685985,2730,9.075
683804,2734,3.941666666666667
540905,2613,7.891666666666667
125140,2732,2.565
661865,2624,3.1366666666666663
685988,2634,8.083333333333334
234781,2755,1.66
230457,2623,3.14
516083,2806,8.353333333333333
611526,3508,21.758333333333333
223077,3541,20.698333333333334
532220,3480,31.711666666666666
512297,3382,35.57833333333333
225130,3098,58.980000000000004
529981,3356,34.045
226918,3573,31.645
524044,3039,18.946666666666665
510008,3091,24.491666666666667
126126,3298,33.656666666666666
512575,3282,16.25
521791,3186,20.428333333333335
129458,2939,6.816666666666666
677369,3317,36.61
559418,3515,40.931666666666665
533599,2891,6.411666666666666
241758,2568,12.853333333333333
111552,3032,15.756666666666666
528774,3131,12.723333333333333
677372,3417,54.45
213573,3276,24.466666666666665
557916,3382,39.55
232498,4048,139.085
525250,3184,57.473333333333336
132842,3517,78.135
229769,3808,93.26333333333334
123860,3763,73.69333333333334
528725,3972,109.43666666666667
662547,4216,111.32166666666667
624590,4111,139.07333333333332
229330,4382,148.56
224339,4241,134.565
250147,4730,151.77833333333334
226745,4185,116.59166666666667
237387,3612,71.96000000000001
677376,3793,63.82666666666667
615351,3829,94.39833333333333
246244,4192,125.11333333333333
129546,4072,106.15
521697,4154,90.00166666666668
243392,4073,133.61499999999998
250566,3971,99.69666666666667
310445,3055,71.935
536938,4148,121.30333333333333
662651,4230,104.07333333333332
228459,3803,103.60833333333333
523502,3796,65.88833333333334
536263,4518,126.24499999999999
527444,3212,16.738333333333333
662669,3552,33.00666666666667
536157,3444,36.965
525677,3295,22.273333333333333
536562,3594,35.64333333333333
232491,3333,19.775
512211,3328,24.36
548506,3556,33.711666666666666
121154,3255,17.584999999999997
512820,3356,22.065
612735,3678,36.74333333333333
662663,3563,29.88
610093,3481,31.855
662642,3306,19.101666666666667
543740,3699,33.54333333333333
230393,3189,14.076666666666666
115815,3701,36.995
526888,3291,21.363333333333333
612219,3463,40.36333333333334
310246,3545,57.294999999999995
625406,3449,23.163333333333334
132636,3489,39.34666666666667
677379,3279,18.458333333333332
624743,3763,46.181666666666665
219074,3777,50.86333333333334
551488,3651,42.02833333333333
117559,3676,36.74333333333333
610312,3475,28.485
210942,3727,32.95666666666667
514414,3099,12.520000000000001
230932,3704,39.67333333333333
662666,3501,39.36833333333333
610887,3647,38.138333333333335
662662,3785,50.86333333333334
126575,3938,36.74333333333333
535990,3652,35.58166666666667
549882,3120,8.991666666666667
