id_demanda,id_instalacion,duracion_min,distancia_km,estimado_por_fallback
682730,00031235,82.83333333333333,57.2787,False
682742,00020274,33.27,25.531200000000002,False
682745,00010777,87.15166666666667,118.0612,False
682837,00003655,86.84333333333333,65.7492,False
682868,00003754,38.88,39.1652,False
682871,00003754,18.586666666666666,12.2912,False
682872,00003792,30.46833333333333,25.164900000000003,False
682939,00031235,109.55166666666668,64.2317,False
682940,00010777,116.135,122.6323,False
682942,00000001,3.3233333333333333,1.7615999999999998,False
682970,00012170,3.9633333333333334,1.5099,False
683012,00000001,126.58333333333333,101.05069999999999,False
683013,00031235,126.73833333333333,135.7176,False
683015,00003655,3.0966666666666667,1.3627,False
683032,00000001,86.24833333333332,70.81230000000001,False
683071,00000001,6.7716666666666665,3.9816,False
683162,00014092,5.21,2.2365999999999997,False
683164,00014092,4.241666666666666,1.838,False
683168,00014092,4.8149999999999995,2.9793000000000003,False
683177,00012918,4.086666666666667,1.9154,False
683178,00012918,5.803333333333333,3.1509,False
683179,00002084,6.65,4.560899999999999,False
683252,00031235,72.53,61.0057,False
683297,00031235,152.12833333333336,101.70830000000001,False
683343,00010723,15.178333333333335,12.225299999999999,False
683346,00013494,4.838333333333334,2.6261,False
683347,00013494,3.7550000000000003,2.1411,False
683349,00012953,6.755,4.192,False
683360,00020274,97.85166666666667,67.79310000000001,False
683404,00010777,35.22833333333333,35.806,False
683415,00016363,4.036666666666666,2.7266999999999997,False
683417,00010777,46.276666666666664,62.0681,False
683420,00031235,42.13666666666666,35.0376,False
683427,00020274,57.88333333333333,41.926,False
683428,00020274,48.09166666666667,35.4074,False
683433,00020274,92.22666666666667,64.7514,False
683435,00020274,84.30666666666666,59.4735,False
683438,00020274,95.99166666666666,67.2567,False
683448,00020274,77.045,54.641,False
683482,00020274,81.35,57.5077,False
683483,00020274,81.35,57.5077,False
683492,00002161,467.8183333333333,616.2855999999999,False
683682,00010723,18.03166666666667,18.1904,False
683687,00010723,69.66000000000001,65.9965,False
683748,00000210,1739.9183333333335,152.1286,False
683794,00037376,55.55166666666666,35.6163,False
683798,00003655,0.9966666666666666,0.5546,False
683804,00037376,3.941666666666667,1.8222,False
683931,00011409,2205.588333333333,184.78529999999998,False
683975,00003523,210.49833333333333,161.72310000000002,False
683979,00003727,21.748333333333335,29.1822,False
683986,00031235,129.645,77.4937,False
684000,00003727,21.433333333333334,29.0499,False
684046,00003655,207.52833333333334,162.88639999999998,False
684092,00031235,170.72666666666666,153.184,False
684109,00010777,96.06,133.4171,False
684134,00000162,217.02833333333334,149.34720000000002,False
684159,00031235,167.36666666666667,112.6006,False
684172,00002161,248.035,205.3279,False
684191,00002021,2.6966666666666668,1.7715,False
684192,00010777,2.6966666666666668,1.7782,False
685944,00035125,54.67666666666666,34.9007,False
685947,00011775,14.666666666666666,11.932799999999999,False
685954,00011775,123.26666666666667,101.9085,False
685958,00008154,28.378333333333334,21.8968,False
685960,00008154,23.483333333333334,23.0843,False
685961,00037376,25.466666666666665,15.6304,False
685964,00008154,53.67166666666667,44.43,False
685965,00037376,69.105,45.1425,False
685967,00037376,70.35,44.6839,False
685973,00011775,76.15,46.4456,False
685979,00037376,72.065,46.6911,False
685981,00037376,70.05666666666666,44.4972,False
685984,00008154,12.44,13.187,False
685985,00008154,9.075,5.6183000000000005,False
685988,00035125,8.083333333333334,3.8255,False
686007,00003494,153.0883333333333,116.71310000000001,False
686010,00003494,120.64666666666668,92.5405,False
686013,00003494,180.08666666666667,144.3246,False
686018,00003494,142.52,121.8691,False
